Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0.0453,1,0,-0.934315,
0.0454,1,0,-0.93417,
0.0455,1,0,-0.934025,
0.0456,1,0,-0.93388,
0.0457,1,0,-0.933735,
0.0458,1,0,-0.93359,
0.0459,1,0,-0.933445,
0.046,1,0,-0.9333,
0.0461,1,0,-0.933155,
0.0462,1,0,-0.93301,
0.0463,1,0,-0.932865,
0.0464,1,0,-0.93272,
0.0465,1,0,-0.932575,
0.0466,1,0,-0.93243,
0.0467,1,0,-0.932285,
0.0468,1,0,-0.93214,
0.0469,1,0,-0.931995,
0.047,1,0,-0.93185,
0.0471,1,0,-0.931705,
0.0472,1,0,-0.93156,
0.0473,1,0,-0.931415,
0.0474,1,0,-0.93127,
0.0475,1,0,-0.931125,
0.0476,1,0,-0.93098,
0.0477,1,0,-0.930835,
0.0478,1,0,-0.93069,
0.0479,1,0,-0.930545,
0.048,1,0,-0.9304,
0.0481,1,0,-0.930255,
0.0482,1,0,-0.93011,
0.0483,1,0,-0.929965,
0.0484,1,0,-0.92982,
0.0485,1,0,-0.929675,
0.0486,1,0,-0.92953,
0.0487,1,0,-0.929385,
0.0488,1,0,-0.92924,
0.0489,1,0,-0.929095,
0.049,1,0,-0.92895,
0.0491,1,0,-0.928805,
0.0492,1,0,-0.92866,
0.0493,1,0,-0.928515,
0.0494,1,0,-0.92837,
0.0495,1,0,-0.928225,
0.0496,1,0,-0.92808,
0.0497,1,0,-0.927935,
0.0498,1,0,-0.92779,
0.0499,1,0,-0.927645,
0.05,1,0,-0.9275,
0.0501,1,0,-0.927355,
0.0502,1,0,-0.92721,
0.0503,1,0,-0.927065,
0.0504,1,0,-0.92692,
0.0505,1,0,-0.926775,
0.0506,1,0,-0.92663,
0.0507,1,0,-0.926485,
0.0508,1,0,-0.92634,
0.0509,1,0,-0.926195,
0.051,1,0,-0.92605,
0.0511,1,0,-0.925905,
0.0512,1,0,-0.92576,
0.0513,1,0,-0.925615,
0.0514,1,0,-0.92547,
0.0515,1,0,-0.925325,
0.0516,1,0,-0.92518,
0.0517,1,0,-0.925035,
0.0518,1,0,-0.92489,
0.0519,1,0,-0.924745,
0.052,1,0,-0.9246,
0.0521,1,0,-0.924455,
0.0522,1,0,-0.92431,
0.0523,1,0,-0.924165,
0.0524,1,0,-0.92402,
0.0525,1,0,-0.923875,
0.0526,1,0,-0.92373,
0.0527,1,0,-0.923585,
0.0528,1,0,-0.92344,
0.0529,1,0,-0.923295,
0.053,1,0,-0.92315,
0.0531,1,0,-0.923005,
0.0532,1,0,-0.92286,
0.0533,1,0,-0.922715,
0.0534,1,0,-0.92257,
0.0535,1,0,-0.922425,
0.0536,1,0,-0.92228,
0.0537,1,0,-0.922135,
0.0538,1,0,-0.92199,
0.0539,1,0,-0.921845,
0.054,1,0,-0.9217,
0.0541,1,0,-0.921555,
0.0542,1,0,-0.92141,
0.0543,1,0,-0.921265,
0.0544,1,0,-0.92112,
0.0545,1,0,-0.920975,
0.0546,1,0,-0.92083,
0.0547,1,0,-0.920685,
0.0548,1,0,-0.92054,
0.0549,1,0,-0.920395,
0.055,1,0,-0.92025,
0.0551,1,0,-0.920105,
0.0552,1,0,-0.91996,
0.0553,1,0,-0.919815,
0.0554,1,0,-0.91967,
0.0555,1,0,-0.919525,
0.0556,1,0,-0.91938,
0.0557,1,0,-0.919235,
0.0558,1,0,-0.91909,
0.0559,1,0,-0.918945,
0.056,1,0,-0.9188,
0.0561,1,0,-0.918655,
0.0562,1,0,-0.91851,
0.0563,1,0,-0.918365,
0.0564,1,0,-0.91822,
0.0565,1,0,-0.918075,
0.0566,1,0,-0.91793,
0.0567,1,0,-0.917785,
0.0568,1,0,-0.91764,
0.0569,1,0,-0.917495,
0.057,1,0,-0.91735,
0.0571,1,0,-0.917205,
0.0572,1,0,-0.91706,
0.0573,1,0,-0.916915,
0.0574,1,0,-0.91677,
0.0575,1,0,-0.916625,
0.0576,1,0,-0.91648,
0.0577,1,0,-0.916335,
0.0578,1,0,-0.91619,
0.0579,1,0,-0.916045,
0.058,1,0,-0.9159,
0.0581,1,0,-0.915755,
0.0582,1,0,-0.91561,
0.0583,1,0,-0.915465,
0.0584,1,0,-0.91532,
0.0585,1,0,-0.915175,
0.0586,1,0,-0.91503,
0.0587,1,0,-0.914885,
0.0588,1,0,-0.91474,
0.0589,1,0,-0.914595,
0.059,1,0,-0.91445,
0.0591,1,0,-0.914305,
0.0592,1,0,-0.91416,
0.0593,1,0,-0.914015,
0.0594,1,0,-0.91387,
0.0595,1,0,-0.913725,
0.0596,1,0,-0.91358,
0.0597,1,0,-0.913435,
0.0598,1,0,-0.91329,
0.0599,1,0,-0.913145,
0.06,1,0,-0.913,
0.0601,1,0,-0.912855,
0.0602,1,0,-0.91271,
0.0603,1,0,-0.912565,
0.0604,1,0,-0.91242,
0.0605,1,0,-0.912275,
0.0606,1,0,-0.91213,
0.0607,1,0,-0.911985,
0.0608,1,0,-0.91184,
0.0609,1,0,-0.911695,
0.061,1,0,-0.91155,
0.0611,1,0,-0.911405,
0.0612,1,0,-0.91126,
0.0613,1,0,-0.911115,
0.0614,1,0,-0.91097,
0.0615,1,0,-0.910825,
0.0616,1,0,-0.91068,
0.0617,1,0,-0.910535,
0.0618,1,0,-0.91039,
0.0619,1,0,-0.910245,
0.062,1,0,-0.9101,
0.0621,1,0,-0.909955,
0.0622,1,0,-0.90981,
0.0623,1,0,-0.909665,
0.0624,1,0,-0.90952,
0.0625,1,0,-0.909375,
0.0626,1,0,-0.90923,
0.0627,1,0,-0.909085,
0.0628,1,0,-0.90894,
0.0629,1,0,-0.908795,
0.063,1,0,-0.90865,
0.0631,1,0,-0.908505,
0.0632,1,0,-0.90836,
0.0633,1,0,-0.908215,
0.0634,1,0,-0.90807,
0.0635,1,0,-0.907925,
0.0636,1,0,-0.90778,
0.0637,1,0,-0.907635,
0.0638,1,0,-0.90749,
0.0639,1,0,-0.907345,
0.064,1,0,-0.9072,
0.0641,1,0,-0.907055,
0.0642,1,0,-0.90691,
0.0643,1,0,-0.906765,
0.0644,1,0,-0.90662,
0.0645,1,0,-0.906475,
0.0646,1,0,-0.90633,
0.0647,1,0,-0.906185,
0.0648,1,0,-0.90604,
0.0649,1,0,-0.905895,
